,firing_rate,snr,isi_violations_ratio,isi_violations_count
284,11.029575272403825,307.15110134021717,2.147817621618106,141
285,2.056926840115633,307.66993266290245,9.635646457268075,22
286,0.6504336224149433,307.15110134021717,0.0,0
288,1.4787636201912386,307.66993266290245,0.8474193001300242,1
289,1.0340226817878586,307.15110134021717,12.13203838594057,7
290,1.128530131198577,307.66993266290245,0.0,0
291,4.714253947075829,307.66993266290245,1.8343939124243502,22
292,0.01667778519012675,308.1887639855877,0.0,0
293,1.8345563709139427,307.66993266290245,0.5505968778696051,1
294,0.7393818100956193,307.66993266290245,3.389677200520097,1
295,1.912386035134534,307.4105270638406,3.5468496484586263,7
297,3.079830998443407,307.66993266290245,3.3211693101695574,17
298,0.5225706026239716,307.15110134021717,0.0,0
300,3.0297976428730267,307.66993266290245,0.4037370591701035,2
303,2.401601067378252,307.66993266290245,4.819315843621399,15
305,1.9012675116744497,307.66993266290245,0.0,0
306,0.5670446964643095,307.66993266290245,0.0,0
307,2.724038247720703,307.15110134021717,6.24323198667222,25
308,0.49477429397376027,307.66993266290245,0.0,0
309,2.190349121636647,307.15110134021717,0.7725012239428998,2
310,0.5058928174338448,307.66993266290245,0.0,0
311,2.056926840115633,307.66993266290245,0.0,0
312,0.01667778519012675,308.70761543283453,0.0,0
314,0.005559261730042251,308.1887639855877,0.0,0
316,5.203468979319546,307.66993266290245,1.6425597194827963,24
317,0.08338892595063375,307.66993266290245,0.0,0
318,1.128530131198577,307.66993266290245,0.0,0
319,1.0284634200578164,307.66993266290245,1.7519357195032867,1
320,0.2501667778519013,307.66993266290245,29.60987654320987,1
321,0.37802979764287303,307.66993266290245,0.0,0
322,1.0451412052479432,307.66993266290245,1.6964689904934356,1
323,3.0242383811429843,307.15110134021717,3.2417820069204146,16
324,2.4349566377585057,307.66993266290245,0.9376368299243135,3
326,0.7171447631754503,307.66993266290245,3.6031488492278108,1
327,4.319546364242829,307.66993266290245,3.9726433548827376,40
330,1.7900822770736047,307.15110134021717,3.4697735426873964,6
333,0.333555703802535,307.66993266290245,0.0,0
334,1.3786969090504781,307.15110134021717,0.0,0
335,1.534356237491661,307.66993266290245,4.722747321991178,6
338,2.6350900600400267,307.66993266290245,0.0,0
339,0.7949744273960418,307.15110134021717,0.0,0
341,3.55792750722704,307.66993266290245,5.855468750000001,40
342,1.4787636201912386,307.66993266290245,2.542257900390073,3
343,2.257060262397154,307.66993266290245,5.092576864277221,14
344,2.868579052701801,307.15110134021717,7.881888107685836,35
345,1.4565265732710697,307.66993266290245,6.114445545131401,7
349,0.9839893262174784,307.15110134021717,15.311053656356728,8
351,1.6288636869023794,307.15110134021717,0.6984356253421705,1
352,1.5565932844118302,307.15110134021717,0.0,0
354,2.1681120747164777,307.66993266290245,0.7884286653517423,2
355,1.7956415388036469,307.66993266290245,1.7241610673925756,3
356,5.281298643540138,307.15110134021717,1.9266925207756231,29
357,1.9679786524349567,307.66993266290245,5.263174694372625,11
358,1.4454080498109851,307.66993266290245,2.66094674556213,3
359,1.2841894596397598,307.66993266290245,2.247334195386143,2
364,0.9283967089170558,307.15110134021717,2.149951593818351,1
365,5.753835890593729,307.15110134021717,0.8955728255035124,16
366,1.1841227484989993,307.15110134021717,2.64321452974498,2
367,1.6677785190126753,307.66993266290245,0.6662222222222222,1
368,0.15010006671114076,307.66993266290245,0.0,0
369,6.498776962419391,307.66993266290245,0.5703953208089503,13
370,2.5628196575494777,307.66993266290245,0.0,0
371,5.698243273293307,307.66993266290245,0.0,0
